Data,TemperaturaMedia,Umidade,Precipitacao
2025-03-01,24.5,75,0.0
2025-03-02,25.2,72,0.0
2025-03-03,26.0,68,2.5
2025-03-04,23.8,85,15.0
2025-03-05,22.1,90,32.0
2025-03-06,21.5,88,18.5
2025-03-07,23.0,78,4.0
2025-03-08,24.8,70,0.0
2025-03-09,26.5,65,0.0
2025-03-10,27.2,62,0.0
2025-03-11,28.0,58,0.0
2025-03-12,27.5,60,1.2
2025-03-13,25.9,74,8.4
2025-03-14,24.2,82,22.0
2025-03-15,23.5,80,10.5
2025-03-16,24.0,75,3.0
2025-03-17,25.5,71,0.0
2025-03-18,26.8,66,0.0
2025-03-19,27.9,61,0.0
2025-03-20,28.4,55,0.0
2025-03-21,29.1,52,0.0
2025-03-22,27.0,68,5.5
2025-03-23,24.6,79,16.8
2025-03-24,23.1,86,28.0
2025-03-25,22.8,84,12.0
2025-03-26,24.3,76,2.0
2025-03-27,25.7,70,0.0
2025-03-28,26.9,64,0.0
2025-03-29,27.8,59,0.0
2025-03-30,28.5,56,0.0
